,redirect_id_sharing_events,url_str_lens,req_header_num,semicolon_in_query,samesite_none_in_header,p3p_in_header,etag_in_header,uuid_in_url,tracking_keywords_next_to_special_char,subdomain_check,special_char_count,req_query_str_lens,req_query_cookies_num,tracking_keywords_in_url,query_url_check,cookie_syncs
166,1,20,16,0,1,1,0,0,0,1,4,82,82,0,0,0
167,1,27,9,0,0,1,0,0,1,1,9,74,74,1,0,0
168,1,27,14,0,0,0,0,0,1,1,10,71,71,1,0,0
169,1,14,6,0,0,0,0,1,1,1,3,34,34,1,0,0
170,1,15,11,0,1,1,1,1,1,1,12,84,84,1,0,0
171,1,16,7,0,0,1,0,1,1,1,6,47,47,1,0,1
172,1,20,7,0,1,0,0,1,0,1,16,137,137,0,0,0
173,1,24,6,0,1,0,0,1,1,1,18,94,94,1,1,0
174,1,12,11,0,0,1,0,1,1,1,10,62,62,1,0,1
175,1,16,14,0,1,0,0,1,1,1,6,47,47,1,0,1
176,1,20,6,0,0,0,0,1,1,1,19,166,166,1,0,0
177,1,15,13,0,1,0,0,1,1,1,3,47,47,1,0,0
178,1,16,7,0,1,1,0,0,1,1,10,46,46,1,0,0
179,1,20,5,0,0,0,0,1,0,1,7,99,99,0,0,0
180,1,12,10,0,1,1,0,1,1,1,11,53,53,1,0,1
181,0,18,7,0,1,1,0,0,1,1,0,0,0,1,0,0
182,1,12,6,0,0,0,0,1,1,1,5,66,66,1,0,0
183,1,13,7,0,1,1,0,1,1,1,28,148,148,1,1,0
184,1,12,15,0,0,0,0,1,1,1,6,45,45,1,0,1
185,1,15,7,0,1,1,0,1,1,1,4,20,20,1,0,0
186,0,19,5,0,0,0,0,1,1,1,0,0,0,1,0,0
187,1,20,10,0,1,1,0,0,1,1,14,102,102,1,0,0
188,1,30,8,0,0,0,0,1,1,1,26,155,155,1,1,0
189,1,12,6,0,0,0,0,1,1,1,10,62,62,1,0,1
190,1,14,12,0,1,0,0,1,1,1,7,60,60,1,0,0
191,1,16,9,0,1,1,1,1,1,1,12,70,70,1,0,0
192,1,13,7,0,1,1,0,1,1,1,28,138,138,1,1,0
193,1,15,11,0,1,1,1,1,1,1,12,84,84,1,0,0
194,1,16,10,0,1,1,0,0,1,1,20,96,96,1,0,0
195,1,23,6,0,0,0,0,0,1,1,5,42,42,1,0,0
196,0,13,5,0,1,1,0,1,1,1,28,138,138,1,1,0
